Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Monkfish,2017,Marine,Lean,1138159000,4720359000,215460764,10059711950,NA,66040200,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2012,Marine,Lean,2428083000,2375015000,994311433,6734765250,NA,63705000,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2020,Marine,Lean,1332378000,4290160000,789824677,8956452600,NA,67081000,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2009,Marine,Lean,2793031000,3923529000,973340410,7548938000,NA,62260500,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2013,Marine,Lean,1515339000,2307938000,NA,6781586000,NA,64105700,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Monkfish,2019,Marine,Lean,1520856000,3835545000,519485552,8833539800,NA,66796800,15.8,0.03,80,1,0.8,0.3,0,5,30,14
Mussel,2017,Molluscs,Shellfish,3932327000,3472683000,3190387172,5059728360,NA,66040200,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2019,Molluscs,Shellfish,5210711000,3435643000,2094156687,4010359800,NA,66796800,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2013,Molluscs,Shellfish,5273468000,8216695000,2391281496,6919958280,NA,64105700,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2012,Molluscs,Shellfish,5832415000,12130773000,2866404104,8015335740,NA,63705000,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2010,Molluscs,Shellfish,6540142000,9906553000,1179124658,9660061800,NA,62759500,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2009,Molluscs,Shellfish,5521608000,13605384000,2356588294,10180793040,NA,62260500,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2018,Molluscs,Shellfish,5602664000,3480694000,1204918975,4403182080,NA,66435600,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2011,Molluscs,Shellfish,6824481000,11507021000,3232392631,8428686960,NA,63285100,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2015,Molluscs,Shellfish,4397630000,4919815000,2629272212,6063983940,NA,65110000,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2016,Molluscs,Shellfish,4658191000,3238609000,2692519876,4890721140,NA,65648100,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2020,Molluscs,Shellfish,4198657000,4434935000,4472162840,2717205000,NA,67081000,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Mussel,2014,Molluscs,Shellfish,5004694000,4415195000,3117464792,5964972000,NA,64596800,10.4,0.4,14,0,25,3.4,7.7,30,46,270
Oyster,2014,Molluscs,Shellfish,337876000,1136344000,NA,506207700,NA,64596800,9.3,0.48,38,3.1,14,42,3.1,22,60,85
